//,SCOUT,,SNIPER,,SOLDIER,,DEMOMAN,,MEDIC,,HWGUY,,PYRO,,SPY,,ENGINEER,
//,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max
BOT_UTIL_BUILDSENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_BUILDDISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_BUILDTELENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2
BOT_UTIL_BUILDTELEXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
BOT_UTIL_UPGSENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGDISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGTELENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2
BOT_UTIL_UPGTELEXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGTMSENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGTMDISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGTMTELENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_UPGTMTELEXT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GOTODISP,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0
BOT_UTIL_GOTORESUPPLY_FOR_HEALTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETAMMOKIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETAMMOTMDISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETAMMODISP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETFLAG,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETHEALTHKIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GETFLAG_LASTKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_SNIPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_ROAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//,SCOUT,,SNIPER,,SOLDIER,,DEMOMAN,,MEDIC,,HWGUY,,PYRO,,SPY,,ENGINEER,
//,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max
BOT_UTIL_CAPTURE_FLAG,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_GOTORESUPPLY_FOR_AMMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_FIND_NEAREST_HEALTH,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_FIND_NEAREST_AMMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_ATTACK_POINT,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEFEND_POINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEFEND_FLAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_ENGI_LOOK_AFTER_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEFEND_FLAG_LASTKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_PUSH_PAYLOAD_BOMB,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_DEFEND_PAYLOAD_BOMB,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0,0
BOT_UTIL_MEDIC_HEAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_MEDIC_HEAL_LAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_MEDIC_FINDPLAYER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_SAP_NEAREST_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOT_UTIL_SAP_ENEMY_SENTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
//,SCOUT,,SNIPER,,SOLDIER,,DEMOMAN,,MEDIC,,HWGUY,,PYRO,,SPY,,ENGINEER,
